date,confirmed_total,deaths_total
2020-01-22,0,0
2020-01-23,0,0
2020-01-24,1,0
2020-01-25,1,0
2020-01-26,1,0
2020-01-27,1,0
2020-01-28,1,0
2020-01-29,1,0
2020-01-30,1,0
2020-01-31,2,0
2020-02-01,2,0
2020-02-02,2,0
2020-02-03,2,0
2020-02-04,2,0
2020-02-05,2,0
2020-02-06,2,0
2020-02-07,2,0
2020-02-08,2,0
2020-02-09,2,0
2020-02-10,2,0
2020-02-11,2,0
2020-02-12,2,0
2020-02-13,2,0
2020-02-14,2,0
2020-02-15,2,0
2020-02-16,2,0
2020-02-17,2,0
2020-02-18,2,0
2020-02-19,2,0
2020-02-20,2,0
2020-02-21,2,0
2020-02-22,2,0
2020-02-23,2,0
2020-02-24,2,0
2020-02-25,2,0
2020-02-26,2,0
2020-02-27,2,0
2020-02-28,2,0
2020-02-29,2,0
2020-03-01,3,0
2020-03-02,4,0
2020-03-03,4,0
2020-03-04,4,0
2020-03-05,5,0
2020-03-06,5,0
2020-03-07,6,0
2020-03-08,7,0
2020-03-09,7,0
2020-03-10,11,0
2020-03-11,22,0
2020-03-12,27,0
2020-03-13,40,0
2020-03-14,50,0
2020-03-15,50,0
2020-03-16,62,0
2020-03-17,107,1
2020-03-18,178,1
2020-03-19,278,2
2020-03-20,278,2
2020-03-21,548,3
2020-03-22,805,4
2020-03-23,922,9
2020-03-24,1194,9
2020-03-25,1418,14
2020-03-26,1418,18
2020-03-27,2239,20
2020-03-28,2613,28
2020-03-29,3445,40
2020-03-30,3727,44
2020-03-31,4496,61
2020-04-01,5152,95
2020-04-02,5575,107
2020-04-03,6111,141
2020-04-04,7439,167
2020-04-05,8034,186
2020-04-06,8728,209
2020-04-07,9509,249
2020-04-08,10520,310
2020-04-09,11415,352
2020-04-10,12472,399
2020-04-11,13417,455
2020-04-12,14585,485
2020-04-13,15474,543
2020-04-14,16323,577
2020-04-15,17306,630
2020-04-16,18087,722
2020-04-17,19391,760
2020-04-18,20395,860
2020-04-19,21272,877
2020-04-20,22101,915
2020-04-21,23181,1002
2020-04-22,24546,1072
2020-04-23,25811,1142
2020-04-24,27616,1220
2020-04-25,29058,1267
2020-04-26,30574,1313
2020-04-27,31953,1347
2020-04-28,33449,1457
2020-04-29,34880,1516
2020-04-30,36513,1607
2020-05-01,38668,1673
2020-05-02,40227,1743
2020-05-03,42324,1786
2020-05-04,43715,1802
2020-05-05,45223,1922
2020-05-06,46689,2004
2020-05-07,48341,2110
2020-05-08,50236,2197
2020-05-09,51674,2264
2020-05-10,52655,2317
2020-05-11,53381,2361
2020-05-12,55470,2449
2020-05-13,56406,2589
2020-05-14,58457,2675
2020-05-15,59905,2762
2020-05-16,61212,2814
2020-05-17,62218,2839
2020-05-18,63690,2889
2020-05-19,64691,2980
2020-05-20,66213,3074
2020-05-21,67551,3114
